class_name,class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin,best_other_class,other_minus_own,suggested_action,reasons
Normal,0,8,people interacting casually without panic or force,23.198334170996137,4.538634268645932,0.5636259317398071,0.8124397993087769,-0.24881386756896973,Arrest,-0.5077362060546875,drop_or_rewrite,negative_margin;low_ap
Normal,0,1,people standing and talking without aggressive movement,28.135320463703007,4.815695192252567,0.41879791021347046,0.645940899848938,-0.22714298963546753,Arrest,-0.5388998985290527,drop_or_rewrite,negative_margin;low_ap
Normal,0,3,shoppers browsing shelves and carrying bags normally,40.78570375967859,7.926766256496704,0.3801514208316803,0.4615615904331207,-0.08141016960144043,Shoplifting,-0.44726648926734924,drop_or_rewrite,negative_margin;low_ap
Normal,0,7,a public area with ordinary walking and waiting,55.317472208109606,9.819441428990416,0.37378808856010437,0.3239743709564209,0.04981371760368347,Vandalism,-0.599539577960968,drop_or_rewrite,low_ap
Normal,0,2,vehicles moving through traffic in an ordinary way,56.93332756142735,12.078338170762896,0.27912232279777527,0.2003231793642044,0.07879914343357086,Arrest,-0.4916006326675415,drop_or_rewrite,low_ap
Normal,0,9,an orderly scene with predictable everyday human activity,58.65897417478846,12.268090248305338,0.27341175079345703,0.19249345362186432,0.08091829717159271,Fighting,-0.31769508123397827,drop_or_rewrite,low_ap
Normal,0,6,people entering and exiting buildings in a routine manner,66.24950275509413,13.116499307890518,0.29414796829223633,0.19056054949760437,0.10358741879463196,Vandalism,-0.4914822280406952,drop_or_rewrite,low_ap
Normal,0,5,pedestrians crossing a walkway with regular spacing,64.3767066150224,12.687203524603131,0.3620845079421997,0.2409825176000595,0.1211019903421402,Arrest,-0.4990459084510803,drop_or_rewrite,low_ap
Arrest,2,2,police surrounding a suspect and directing surrender,73.76289493122465,16.841251401554626,0.27236104011535645,0.10854976624250412,0.16381126642227173,Normal,-0.09140264987945557,drop_or_rewrite,low_ap
Normal,0,0,a normal street scene with pedestrians walking calmly,72.73999160807476,16.836686351968904,0.33404889702796936,0.15949003398418427,0.1745588630437851,Arrest,-0.3788438141345978,drop_or_rewrite,low_ap
Normal,0,4,workers calmly performing tasks around counters and equipment,74.54360586310685,17.853042059633385,0.36961808800697327,0.16968569159507751,0.19993239641189575,Vandalism,-0.2641434073448181,drop_or_rewrite,low_ap
Vandalism,13,7,public property being defaced with paint or graffiti,80.67068994535957,20.256675392922244,0.3618290424346924,0.11926225572824478,0.2425667941570282,Normal,0.1491485834121704,drop_or_rewrite,text_confusion
Robbery,9,6,a forced handover following a visible threat gesture,84.33130920973187,25.497943379913835,0.3750181794166565,0.1033821702003479,0.2716360092163086,Assault,0.0025731325149536133,drop_or_rewrite,text_confusion
Shoplifting,11,8,a suspect leaving a shop while holding unpaid merchandise,83.32731892130224,22.91577725291582,0.39944279193878174,0.10926453769207001,0.29017823934555054,Robbery,-0.010732293128967285,drop_or_rewrite,text_confusion
RoadAccidents,8,9,a motorbike rider falling during an intersection collision,77.71260390987665,19.110574661673706,0.4405926465988159,0.1479322612285614,0.2926603853702545,Arrest,-0.20269501209259033,drop_or_rewrite,low_ap
Shoplifting,11,1,a person removing a store item without checkout,79.3333831146632,19.90284504720331,0.4455604553222656,0.1464844048023224,0.29907605051994324,Robbery,-0.1162874698638916,drop_or_rewrite,low_ap
Robbery,9,2,a victim handing over belongings under close range intimidation,84.48232705455932,26.353800349444068,0.41610628366470337,0.10410434007644653,0.31200194358825684,Stealing,-0.01929628849029541,drop_or_rewrite,text_confusion
