class_name,prompt_index,prompt_text,own_class_similarity,best_other_class,best_other_similarity,other_minus_own,nearest_same_class_prompt_similarity
Vandalism,7,public property being defaced with paint or graffiti,0.5903618335723877,Normal,0.7395104169845581,0.1491485834121704,0.7216587662696838
Stealing,8,a valuable object being taken stealthily during distraction,0.7514097690582275,Assault,0.8816275596618652,0.1302177906036377,0.6769222617149353
Assault,2,two people colliding violently during a street confrontation,0.7639806270599365,Robbery,0.8283812403678894,0.06440061330795288,0.8636423349380493
Fighting,9,"a brawl with repeated grappling, striking, and falling",0.8707247972488403,Assault,0.9206343293190002,0.04990953207015991,0.8679580688476562
Shooting,9,a shooter stance with recoil and fleeing people,0.8377208709716797,Assault,0.8790031671524048,0.0412822961807251,0.8644487261772156
Vandalism,8,a suspect repeatedly hitting a fixture until pieces break,0.8333065509796143,Robbery,0.8742450475692749,0.040938496589660645,0.8489030599594116
Abuse,9,a hostile person restraining and hurting a defenseless target,0.8636958599090576,Assault,0.9004781246185303,0.036782264709472656,0.8884397149085999
Assault,5,an attacker swinging arms repeatedly at another person,0.8633668422698975,Robbery,0.8965399265289307,0.0331730842590332,0.8763138055801392
Vandalism,1,someone kicking or striking an object until it breaks,0.8289799094200134,Stealing,0.8617706298828125,0.03279072046279907,0.8489030599594116
Abuse,4,an attacker cornering someone and delivering forceful hits,0.9333937168121338,Assault,0.9569715261459351,0.02357780933380127,0.9166156649589539
Abuse,3,a victim shielding their body during repeated physical mistreatment,0.6472712755203247,Arrest,0.6607080698013306,0.01343679428100586,0.6046887040138245
Burglary,4,an intruder carrying stolen items from a damaged entrance,0.8623204827308655,Stealing,0.8711867928504944,0.008866310119628906,0.8312807679176331
Fighting,2,two opponents separating and reengaging in a brawl,0.8578579425811768,Assault,0.8659746646881104,0.008116722106933594,0.8885878324508667
Robbery,6,a forced handover following a visible threat gesture,0.8588248491287231,Assault,0.8613979816436768,0.0025731325149536133,0.7887428998947144
Assault,0,a person punching another person in a close confrontation,0.893852710723877,Abuse,0.8952113389968872,0.001358628273010254,0.8763138055801392
Abuse,0,a surveillance frame of an aggressor striking a vulnerable victim,0.9343409538269043,Assault,0.9333917498588562,-0.0009492039680480957,0.8885772228240967
Abuse,8,a victim collapsing after repeated blows from another person,0.9488791227340698,Assault,0.9477307796478271,-0.0011483430862426758,0.9166156649589539
Assault,4,a victim stumbling backward after a direct body hit,0.9562258124351501,Abuse,0.9472101926803589,-0.00901561975479126,0.9181705713272095
Abuse,5,a person dragging a resisting victim across the floor,0.8611816167831421,Burglary,0.8511756062507629,-0.01000601053237915,0.8702092170715332
Shoplifting,8,a suspect leaving a shop while holding unpaid merchandise,0.9115046262741089,Robbery,0.9007723331451416,-0.010732293128967285,0.8661022186279297
Abuse,2,a violent person grabbing and controlling a weaker victim,0.9052218198776245,Robbery,0.8899548053741455,-0.015267014503479004,0.8927686810493469
Vandalism,3,a person breaking glass with repeated tool impacts,0.8348633646965027,Robbery,0.8169183135032654,-0.017945051193237305,0.7798923850059509
Robbery,2,a victim handing over belongings under close range intimidation,0.8402425646781921,Stealing,0.8209462761878967,-0.01929628849029541,0.7751498818397522
Robbery,4,a person threatening a clerk and demanding money,0.8534970879554749,Shoplifting,0.8332391977310181,-0.020257890224456787,0.8014761209487915
