video_id,label,num_frames,positive_frames,baseline_classifier_mean,baseline_classifier_max,baseline_classifier_positive_mean,baseline_classifier_negative_mean,baseline_classifier_auc,baseline_classifier_ap,baseline_alignment_mean,baseline_alignment_max,baseline_alignment_positive_mean,baseline_alignment_negative_mean,baseline_alignment_auc,baseline_alignment_ap,manual_classifier_mean,delta_classifier_mean,manual_classifier_max,delta_classifier_max,manual_classifier_positive_mean,delta_classifier_positive_mean,manual_classifier_negative_mean,delta_classifier_negative_mean,manual_classifier_auc,delta_classifier_auc,manual_classifier_ap,delta_classifier_ap,manual_alignment_mean,delta_alignment_mean,manual_alignment_max,delta_alignment_max,manual_alignment_positive_mean,delta_alignment_positive_mean,manual_alignment_negative_mean,delta_alignment_negative_mean,manual_alignment_auc,delta_alignment_auc,manual_alignment_ap,delta_alignment_ap
Abuse028_x264,Abuse,1408,75,0.8617116808891296,0.9985138773918152,0.9662609100341797,0.8558292984962463,51.73643410852713,6.367688064496575,0.9958226680755615,0.9996578693389893,0.9981895089149475,0.9956895112991333,49.59189797449362,6.150696596618814,0.8177669048309326,-0.04394477605819702,0.9983768463134766,-0.00013703107833862305,0.9461758136749268,-0.02008509635925293,0.810542106628418,-0.04528719186782837,39.765441360340084,-11.970992748187044,5.120479409191547,-1.2472086553050286,0.9087803363800049,-0.08704233169555664,0.9972978830337524,-0.0023599863052368164,0.9789142608642578,-0.019275248050689697,0.9048344492912292,-0.09085506200790405,46.77519379844961,-2.816704176044013,5.763376036790671,-0.38732055982814284
Abuse030_x264,Abuse,1536,85,0.9929139614105225,0.9998125433921814,0.999457597732544,0.9925305843353271,69.11541735922488,9.577626597772973,0.9960942268371582,0.9987035393714905,0.9976728558540344,0.9960017800331116,49.40973770624721,6.223381187835201,0.9191120266914368,-0.0738019347190857,0.9960495829582214,-0.003762960433959961,0.9942119717597961,-0.005245625972747803,0.91471266746521,-0.07781791687011719,74.10994446021,4.994527100985124,11.062785316829435,1.4851587190564626,0.9820486903190613,-0.014045536518096924,0.9978070259094238,-0.0008965134620666504,0.9966902732849121,-0.0009825825691223145,0.9811909198760986,-0.01481086015701294,81.50443912920096,32.09470142295375,15.05346938070627,8.83008819287107
Arrest001_x264,Arrest,2368,300,0.4518764019012451,0.9980471134185791,0.9698720574378967,0.3767319321632385,98.38426821405545,90.03403346653347,0.6530710458755493,0.9905329346656799,0.9810068607330322,0.6054981350898743,99.59896840747905,97.37133478437828,0.21945208311080933,-0.2324243187904358,0.9958105087280273,-0.002236604690551758,0.9540777802467346,-0.01579427719116211,0.11288163810968399,-0.26385029405355453,99.47259832366215,1.0883301096067015,96.63476799468647,6.600734528152998,0.43075841665267944,-0.22231262922286987,0.9863287806510925,-0.004204154014587402,0.9618510007858276,-0.01915585994720459,0.3537140190601349,-0.2517841160297394,99.68407479045777,0.0851063829787222,97.95658356337704,0.5852487789987606
Arrest007_x264,Arrest,3136,630,0.7880198955535889,0.9999284744262695,0.9957724809646606,0.7357915639877319,99.70622886025919,99.15736607142858,0.9165781736373901,0.9999218583106995,0.9993320107460022,0.895774245262146,99.90891701186993,99.6533658140801,0.4386758506298065,-0.34934404492378235,0.993866503238678,-0.006061971187591553,0.906757652759552,-0.08901482820510864,0.3210016191005707,-0.41478994488716125,97.65097100292631,-2.055257857332876,92.94028052480523,-6.217085546623352,0.7344563007354736,-0.1821218729019165,0.9975259304046631,-0.002395927906036377,0.9789168834686279,-0.020415127277374268,0.6729997396469116,-0.22277450561523438,99.83392239577395,-0.07499461609597802,99.42919281154576,-0.2241730025343429
Arrest024_x264,Arrest,3616,2100,0.9995573163032532,0.9999921321868896,0.9998852610588074,0.9991028904914856,51.493152406081165,55.06442484182102,0.9997256398200989,0.9999205470085144,0.9997170567512512,0.9997373223304749,39.684633747958294,48.4604455660679,0.9995964765548706,3.916025161743164e-05,0.9999932050704956,1.0728836059570312e-06,0.9998925924301147,7.331371307373047e-06,0.9991863369941711,8.344650268554688e-05,55.52531725091092,4.032164844829758,65.76893494962388,10.70451010780286,0.9993380904197693,-0.00038754940032958984,0.9998183846473694,-0.00010216236114501953,0.9994689226150513,-0.00024813413619995117,0.9991567730903625,-0.0005805492401123047,67.74494283201406,28.060309084055767,63.58807020130506,15.127624635237161
Arrest030_x264,Arrest,8640,1665,0.9869815111160278,0.9999940395355225,0.9999823570251465,0.9838781356811523,94.27715457392877,78.17053623625138,0.9984167218208313,0.9999738335609436,0.9999187588691711,0.9980581998825073,80.21709020848806,34.57953957658516,0.962315559387207,-0.0246659517288208,0.9999855756759644,-8.463859558105469e-06,0.9999017715454102,-8.058547973632812e-05,0.953343391418457,-0.030534744262695312,84.14841938712907,-10.128735186799702,40.61855862018998,-37.5519776160614,0.9901021122932434,-0.00831460952758789,0.9998003244400024,-0.0001735091209411621,0.9996605515480042,-0.0002582073211669922,0.9878205060958862,-0.010237693786621094,80.23196960401262,0.014879395524559413,35.134481715957264,0.5549421393721019
Arrest039_x264,Arrest,15824,3120,0.31562724709510803,0.9983789920806885,0.42451947927474976,0.28888413310050964,59.54397565071369,23.391684099129716,0.3831726312637329,0.9992027878761292,0.4598191976547241,0.364348828792572,60.59185881289155,22.01382464863371,0.09445346146821976,-0.22117378562688828,0.9341907501220703,-0.06418824195861816,0.07323068380355835,-0.3512887954711914,0.09966560453176498,-0.18921852856874466,59.30213782858619,-0.2418378221275006,22.406373622555552,-0.9853104765741634,0.24892260134220123,-0.13425002992153168,0.9853468537330627,-0.013855934143066406,0.22028209269046783,-0.2395371049642563,0.2559564709663391,-0.10839235782623291,53.19007136859781,-7.401787444293738,19.486743699899566,-2.5270809487341452
Arson007_x264,Arson,6240,3450,0.957899808883667,0.9958055019378662,0.947363555431366,0.9709285497665405,40.183242428964725,47.75016439106431,0.9967396259307861,0.9988159537315369,0.9957154393196106,0.9980061054229736,20.153114123941616,44.81253779436939,0.9721827507019043,0.014282941818237305,0.9996325969696045,0.0038270950317382812,0.9643664956092834,0.01700294017791748,0.9818480014801025,0.010919451713562012,53.7754714040829,13.592228975118175,60.77331622010792,13.023151829043613,0.9880826473236084,-0.008656978607177734,0.9991448521614075,0.00032889842987060547,0.9855238795280457,-0.010191559791564941,0.9912468194961548,-0.006759285926818848,48.39010960469586,28.236995480754242,60.060250619701705,15.247712825332314
Arson009_x264,Arson,736,95,0.9960964918136597,0.9998841285705566,0.9980766177177429,0.9958029389381409,36.82322029723294,11.619719789387476,0.9986822605133057,0.9999508857727051,0.9986799359321594,0.9986826777458191,34.32712045323918,11.23853200278029,0.998662531375885,0.002566039562225342,0.9999493360519409,6.520748138427734e-05,0.9996462464332581,0.0015696287155151367,0.9985166788101196,0.0027137398719787598,46.15075129320962,9.32753099597668,13.192044266087507,1.5723244767000306,0.9985674023628235,-0.00011485815048217773,0.9995766878128052,-0.00037419795989990234,0.9986640810966492,-1.5854835510253906e-05,0.9985530376434326,-0.0001296401023864746,41.47384842762132,7.146727974382138,12.267961491307878,1.0294294885275868
Arson010_x264,Arson,3152,345,0.7839153409004211,0.9961961507797241,0.9833076596260071,0.7594085931777954,80.42662494901462,25.722674832918095,0.9570447206497192,0.9945799112319946,0.9928075671195984,0.9526492357254028,82.84542267519606,25.613980936556967,0.837826669216156,0.05391132831573486,0.9994295239448547,0.0032333731651306152,0.9978106021881104,0.014502942562103271,0.8181635141372681,0.058754920959472656,87.0750143275352,6.6483893785205765,30.188656074417462,4.465981241499367,0.9293566346168518,-0.02768808603286743,0.997520387172699,0.0029404759407043457,0.9943678975105286,0.0015603303909301758,0.9213663935661316,-0.03128284215927124,87.20223251395322,4.356809838757158,30.42736203388695,4.813381097329984
