class_name,class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin,best_other_class,other_minus_own
Normal,0,0,pedestrians walking calmly along an ordinary street,48.082289724492966,7.039636586917807,0.6372807025909424,0.6421058177947998,-0.004825115203857422,Vandalism,-0.6115139126777649
Normal,0,1,people waiting and talking in a public area,50.8947774546209,7.537061287201398,0.5914599895477295,0.5791604518890381,0.012299537658691406,Arson,-0.6374797821044922
Normal,0,2,vehicles moving steadily through regular traffic,29.733415177210464,4.918367813875553,0.7108551263809204,0.8237739205360413,-0.11291879415512085,Arson,-0.75669264793396
Normal,0,3,customers standing calmly near store counters,30.983393195234232,4.99263678541616,0.6597929000854492,0.7847469449043274,-0.12495404481887817,Shoplifting,-0.6868587732315063
Normal,0,4,people entering and exiting buildings at normal pace,52.77424792319626,7.8071516013126825,0.633756160736084,0.6072487235069275,0.026507437229156494,Arson,-0.8021160960197449
Abuse,1,0,a vulnerable victim enduring repeated close range mistreatment,83.94963115207679,23.367572188627232,0.7941654324531555,0.2689560055732727,0.5252094268798828,Fighting,-0.10139793157577515
Abuse,1,1,a stronger aggressor controlling a weaker victim indoors,84.25323947049253,23.123318567808624,0.7877435684204102,0.26219478249549866,0.5255488157272339,Assault,-0.05444443225860596
Abuse,1,2,a helpless person recoiling from sustained physical abuse,83.78291975165601,22.782626782593805,0.6739102005958557,0.21281714737415314,0.46109306812286377,Vandalism,-0.014161229133605957
Abuse,1,3,a defenseless victim shielding from repeated aggressive contact,84.03192511912823,23.074176559301502,0.8172216415405273,0.2817552089691162,0.5354664325714111,Assault,-0.018945693969726562
Abuse,1,4,an aggressor dragging or overpowering a vulnerable person,84.25506940514296,23.809451466955124,0.7903340458869934,0.2656733989715576,0.5246606469154358,Arrest,-0.07318925857543945
Arrest,2,0,uniformed police placing handcuffs on a detained suspect,84.21928605625347,23.58249910274804,0.8035798668861389,0.279378205537796,0.5242016315460205,Robbery,-0.12629425525665283
Arrest,2,1,officers escorting a handcuffed person toward a patrol car,84.4152619912014,24.685044324754024,0.6907258629798889,0.21945731341838837,0.47126853466033936,Shooting,-0.07270586490631104
Arrest,2,2,a handcuffed suspect standing between multiple police officers,84.32199708114942,23.36669409654585,0.7913565039634705,0.26644739508628845,0.5249091386795044,Abuse,-0.10997408628463745
Arrest,2,3,law enforcement securing a suspect during formal custody,83.5381700095235,22.166151506858476,0.6556085348129272,0.20627179741859436,0.4493367373943329,Shooting,-0.021579444408416748
Arrest,2,4,a detained person kneeling while officers apply restraints,83.36090452666495,21.4812946894847,0.811119556427002,0.28252288699150085,0.5285966396331787,Abuse,-0.11063390970230103
