class_name,class_index,prompt_index,prompt_text,auc,ap,positive_mean,negative_mean,margin,best_other_class,other_minus_own
Normal,0,0,normal an orderly scene with predictable everyday human activity,32.08422309675972,5.083577519535402,0.6183295845985413,0.7305219769477844,-0.11219239234924316,Stealing,-0.6122147440910339
Abuse,1,0,abuse a vulnerable victim enduring repeated close range mistreatment,83.27494893879766,21.535640699704615,0.702907383441925,0.21825982630252838,0.48464757204055786,Assault,-0.15878015756607056
Arrest,2,0,arrest a person being arrested by uniformed police officers,83.89740264379193,23.004341502769897,0.6921979188919067,0.2062801718711853,0.48591774702072144,Assault,-0.14411979913711548
Arson,3,0,arson a person lighting material before flames spread,82.37420969791116,21.67405069418141,0.7049499750137329,0.22331207990646362,0.4816378951072693,Shooting,-0.21430987119674683
Assault,4,0,assault an attacker swinging arms repeatedly at another person,84.226976180034,22.911394822865994,0.7364461421966553,0.2211957573890686,0.5152503848075867,Arrest,-0.14412015676498413
Burglary,5,0,burglary a person illegally entering a building to steal property,83.94911899612548,25.809668732334046,0.7958905696868896,0.27687957882881165,0.5190110206604004,Robbery,-0.15285295248031616
Explosion,6,0,explosion a powerful blast destroying an object or structure,81.59832311476643,21.75153270575988,0.6186881065368652,0.19015753269195557,0.42853057384490967,Shooting,-0.22570961713790894
Fighting,7,0,fighting a public fight where both sides are physically attacking,83.57961887916505,22.045639562552598,0.7154200077056885,0.21985702216625214,0.49556297063827515,Assault,-0.15153002738952637
RoadAccidents,8,0,roadAccidents a vehicle collision causing roadway impact and disruption,80.02630386258835,20.19227742871452,0.7382127642631531,0.2520449459552765,0.4861678183078766,Vandalism,-0.21054232120513916
Robbery,9,0,robbery a threatening person demanding valuables from a victim,83.50241107063627,24.004422100231945,0.7860599160194397,0.2630212604999542,0.5230386257171631,Burglary,-0.15285301208496094
Shooting,10,0,shooting a shooting incident involving a visible gun,83.78109033597296,21.672238125156763,0.7295103669166565,0.22633428871631622,0.5031760931015015,Assault,-0.14888936281204224
Shoplifting,11,0,shoplifting a person secretly taking merchandise from a store without paying,80.86993190895664,21.219889356297188,0.6732262969017029,0.22869329154491425,0.44453299045562744,Burglary,-0.22839641571044922
Stealing,12,0,stealing a person secretly stealing an unattended object,81.4394383914229,24.23910389968337,0.7803805470466614,0.2699930965900421,0.5103874206542969,Shoplifting,-0.24641424417495728
Vandalism,13,0,vandalism someone striking public property until visible damage appears,83.89214631029897,22.990104272061686,0.776993989944458,0.2607564628124237,0.5162374973297119,RoadAccidents,-0.2105424404144287
