class_index,class_name,mean_intra_prompt_similarity,min_intra_prompt_similarity,max_intra_prompt_similarity,std_intra_prompt_similarity,centroid_to_own_anchor_similarity
0,Normal,0.7172824144363403,0.5213085412979126,0.8643283843994141,0.0951504334807396,0.206193745136261
1,Abuse,0.9119717478752136,0.8746895790100098,0.9538605809211731,0.026899166405200958,0.4351288676261902
2,Arrest,0.8434594869613647,0.7500102519989014,0.9207590818405151,0.04871385172009468,0.651653528213501
3,Arson,0.8749358057975769,0.7983081340789795,0.9320303201675415,0.04446684569120407,0.4148198068141937
4,Assault,0.8482778668403625,0.7690366506576538,0.9273008108139038,0.055714450776576996,0.40974247455596924
5,Burglary,0.8128504753112793,0.6793922185897827,0.8792034387588501,0.06984340399503708,0.5932149887084961
6,Explosion,0.9224551320075989,0.8774053454399109,0.9503157734870911,0.02089597098529339,0.41941148042678833
7,Fighting,0.7393220663070679,0.45425689220428467,0.9643810391426086,0.17346863448619843,0.4381321966648102
8,RoadAccidents,0.7628794312477112,0.6225264072418213,0.8535858988761902,0.07638506591320038,0.6771227717399597
9,Robbery,0.8021485209465027,0.705482006072998,0.8755671977996826,0.05166999623179436,0.5987578630447388
10,Shooting,0.7841406464576721,0.6155920624732971,0.9317854642868042,0.11565887928009033,0.2865622043609619
11,Shoplifting,0.8139974474906921,0.6918990612030029,0.9013186693191528,0.05649843066930771,0.658832848072052
12,Stealing,0.7875187993049622,0.6169230937957764,0.9136098623275757,0.08639604598283768,0.513317883014679
13,Vandalism,0.7536576986312866,0.5002411603927612,0.8839112520217896,0.10484863817691803,0.5609134435653687
