global_prompt_index,source_file,class_index,class_name,prompt_index,clip_token_count_with_special,clip_content_token_count,raw_prompt_text,encoded_prompt_text,clip_token_ids_nonzero
0,ucf_manual_class_prompts_10x.json,0,Normal,0,12,10,a normal street scene with pedestrians walking calmly,normal a normal street scene with pedestrians walking calmly,49406 5967 320 5967 2012 3562 593 33895 3941 34990 597 49407
1,ucf_manual_class_prompts_10x.json,0,Normal,1,10,8,people standing and talking without aggressive movement,normal people standing and talking without aggressive movement,49406 5967 1047 2862 537 2578 2193 16295 5208 49407
2,ucf_manual_class_prompts_10x.json,0,Normal,2,11,9,vehicles moving through traffic in an ordinary way,normal vehicles moving through traffic in an ordinary way,49406 5967 8361 3584 1417 3399 530 550 8012 923 49407
3,ucf_manual_class_prompts_10x.json,0,Normal,3,10,8,shoppers browsing shelves and carrying bags normally,normal shoppers browsing shelves and carrying bags normally,49406 5967 22316 29318 16225 537 9920 6136 15870 49407
4,ucf_manual_class_prompts_10x.json,0,Normal,4,12,10,workers calmly performing tasks around counters and equipment,normal workers calmly performing tasks around counters and equipment,49406 5967 4795 34990 597 5170 19453 1630 46170 537 6893 49407
5,ucf_manual_class_prompts_10x.json,0,Normal,5,11,9,pedestrians crossing a walkway with regular spacing,normal pedestrians crossing a walkway with regular spacing,49406 5967 33895 8673 320 36614 593 6307 588 9442 49407
6,ucf_manual_class_prompts_10x.json,0,Normal,6,12,10,people entering and exiting buildings in a routine manner,normal people entering and exiting buildings in a routine manner,49406 5967 1047 12580 537 39577 8866 530 320 12319 20700 49407
7,ucf_manual_class_prompts_10x.json,0,Normal,7,11,9,a public area with ordinary walking and waiting,normal a public area with ordinary walking and waiting,49406 5967 320 2122 2445 593 8012 3941 537 2680 49407
8,ucf_manual_class_prompts_10x.json,0,Normal,8,10,8,people interacting casually without panic or force,normal people interacting casually without panic or force,49406 5967 1047 35045 18840 2193 14124 541 2869 49407
9,ucf_manual_class_prompts_10x.json,0,Normal,9,11,9,an orderly scene with predictable everyday human activity,normal an orderly scene with predictable everyday human activity,49406 5967 550 43457 3562 593 25344 5160 2751 6206 49407
10,ucf_manual_class_prompts_10x.json,1,Abuse,0,14,12,a surveillance frame of an aggressor striking a vulnerable victim,abuse a surveillance frame of an aggressor striking a vulnerable victim,49406 7678 320 15578 6481 539 550 10426 35152 13392 320 14332 9133 49407
11,ucf_manual_class_prompts_10x.json,1,Abuse,1,13,11,a person forcefully pushing a helpless victim against furniture,abuse a person forcefully pushing a helpless victim against furniture,49406 7678 320 2533 12068 2401 11549 320 47638 9133 1601 7993 49407
12,ucf_manual_class_prompts_10x.json,1,Abuse,2,12,10,a violent person grabbing and controlling a weaker victim,abuse a violent person grabbing and controlling a weaker victim,49406 7678 320 11565 2533 26440 537 26427 320 39735 9133 49407
13,ucf_manual_class_prompts_10x.json,1,Abuse,3,15,13,a victim shielding their body during repeated physical mistreatment,abuse a victim shielding their body during repeated physical mistreatment,49406 7678 320 9133 823 28223 911 1774 1590 27904 6671 42039 527 777 49407
14,ucf_manual_class_prompts_10x.json,1,Abuse,4,13,11,an attacker cornering someone and delivering forceful hits,abuse an attacker cornering someone and delivering forceful hits,49406 7678 550 39288 5202 1785 2100 537 9943 12068 857 4712 49407
15,ucf_manual_class_prompts_10x.json,1,Abuse,5,12,10,a person dragging a resisting victim across the floor,abuse a person dragging a resisting victim across the floor,49406 7678 320 2533 37069 320 43679 9133 2500 518 4125 49407
16,ucf_manual_class_prompts_10x.json,1,Abuse,6,13,11,a vulnerable person recoiling from sustained aggressive body contact,abuse a vulnerable person recoiling from sustained aggressive body contact,49406 7678 320 14332 2533 2535 3299 633 22699 16295 1774 3523 49407
17,ucf_manual_class_prompts_10x.json,1,Abuse,7,13,11,a stronger aggressor overpowering a weaker person indoors,abuse a stronger aggressor overpowering a weaker person indoors,49406 7678 320 9245 10426 35152 1658 16231 320 39735 2533 22973 49407
18,ucf_manual_class_prompts_10x.json,1,Abuse,8,13,11,a victim collapsing after repeated blows from another person,abuse a victim collapsing after repeated blows from another person,49406 7678 320 9133 16881 1197 953 27904 21063 633 1380 2533 49407
19,ucf_manual_class_prompts_10x.json,1,Abuse,9,14,12,a hostile person restraining and hurting a defenseless target,abuse a hostile person restraining and hurting a defenseless target,49406 7678 320 28074 2533 25424 1389 537 24017 320 45875 1285 5400 49407
20,ucf_manual_class_prompts_10x.json,2,Arrest,0,12,10,a surveillance frame of police restraining a suspect,arrest a surveillance frame of police restraining a suspect,49406 9320 320 15578 6481 539 2120 25424 1389 320 9065 49407
21,ucf_manual_class_prompts_10x.json,2,Arrest,1,13,11,officers handcuffing a detained person with controlled posture,arrest officers handcuffing a detained person with controlled posture,49406 9320 6335 1722 729 16592 320 20260 2533 593 14140 29681 49407
22,ucf_manual_class_prompts_10x.json,2,Arrest,2,10,8,police surrounding a suspect and directing surrender,arrest police surrounding a suspect and directing surrender,49406 9320 2120 12544 320 9065 537 21817 20964 49407
23,ucf_manual_class_prompts_10x.json,2,Arrest,3,14,12,uniformed officers escorting a suspect toward a patrol car,arrest uniformed officers escorting a suspect toward a patrol car,49406 9320 1107 6528 6335 24360 694 320 9065 8508 320 10073 1615 49407
24,ucf_manual_class_prompts_10x.json,2,Arrest,4,11,9,law enforcement pinning a resisting person during detention,arrest law enforcement pinning a resisting person during detention,49406 9320 2606 12460 44515 320 43679 2533 1590 16908 49407
25,ucf_manual_class_prompts_10x.json,2,Arrest,5,12,10,officers searching a suspect after applying physical restraint,arrest officers searching a suspect after applying physical restraint,49406 9320 6335 10626 320 9065 953 17965 6671 25424 1207 49407
26,ucf_manual_class_prompts_10x.json,2,Arrest,6,11,9,a patrol team blocking a suspect from escaping,arrest a patrol team blocking a suspect from escaping,49406 9320 320 10073 1027 12652 320 9065 633 21767 49407
27,ucf_manual_class_prompts_10x.json,2,Arrest,7,12,10,police pulling a suspect's arms behind their back,arrest police pulling a suspect's arms behind their back,49406 9320 2120 12897 320 9065 568 5706 2403 911 893 49407
28,ucf_manual_class_prompts_10x.json,2,Arrest,8,11,9,a detained person being guided beside police officers,arrest a detained person being guided beside police officers,49406 9320 320 20260 2533 1265 13194 13519 2120 6335 49407
29,ucf_manual_class_prompts_10x.json,2,Arrest,9,13,11,officers immobilizing a suspect using coordinated restraint,arrest officers immobilizing a suspect using coordinated restraint,49406 9320 6335 732 20770 3152 320 9065 1996 32540 25424 1207 49407
30,ucf_manual_class_prompts_10x.json,3,Arson,0,12,10,a person igniting flammable material near property,arson a person igniting flammable material near property,49406 29937 320 2533 7303 1257 10559 23001 7118 2252 5043 49407
31,ucf_manual_class_prompts_10x.json,3,Arson,1,12,10,a suspicious person pouring liquid before visible flames appear,arson a suspicious person pouring liquid before visible flames appear,49406 29937 320 19862 2533 16098 10158 1348 8626 13441 9308 49407
32,ucf_manual_class_prompts_10x.json,3,Arson,2,13,11,a small fire spreading across a vehicle or building surface,arson a small fire spreading across a vehicle or building surface,49406 29937 320 2442 1769 11821 2500 320 5299 541 2307 7744 49407
33,ucf_manual_class_prompts_10x.json,3,Arson,3,13,11,bright flames emerging after someone approaches a combustible target,arson bright flames emerging after someone approaches a combustible target,49406 29937 4852 13441 11113 953 2100 14962 320 35629 25835 5400 49407
34,ucf_manual_class_prompts_10x.json,3,Arson,4,12,10,a person fleeing as a deliberately started fire grows,arson a person fleeing as a deliberately started fire grows,49406 29937 320 2533 30543 601 320 35163 2760 1769 13352 49407
35,ucf_manual_class_prompts_10x.json,3,Arson,5,12,10,smoke and flames rising from unattended damaged property,arson smoke and flames rising from unattended damaged property,49406 29937 6664 537 13441 5448 633 569 8140 13568 5043 49407
36,ucf_manual_class_prompts_10x.json,3,Arson,6,12,10,a surveillance frame showing deliberate ignition near a structure,arson a surveillance frame showing deliberate ignition near a structure,49406 29937 320 15578 6481 3649 38271 36115 2252 320 5285 49407
