class_name,baseline_nearest_class,baseline_nearest_similarity,baseline_separation,selected_nearest_class,selected_nearest_similarity,selected_separation,separation_delta_selected_minus_baseline
Burglary,Shoplifting,0.687308132648468,0.312691867351532,Robbery,0.8606796264648438,0.13932037353515625,-0.17337149381637573
Shoplifting,Arrest,0.8379966020584106,0.16200339794158936,Stealing,0.8921598792076111,0.10784012079238892,-0.05416327714920044
Vandalism,Arrest,0.842786431312561,0.15721356868743896,Fighting,0.8439143300056458,0.15608566999435425,-0.0011278986930847168
Normal,Arrest,0.8705625534057617,0.12943744659423828,Abuse,0.863224983215332,0.13677501678466797,0.0073375701904296875
Fighting,Stealing,0.8983167409896851,0.10168325901031494,Abuse,0.8723402619361877,0.12765973806381226,0.025976479053497314
Robbery,Arrest,0.892753541469574,0.10724645853042603,Stealing,0.8658286333084106,0.13417136669158936,0.02692490816116333
Stealing,Arrest,0.9204425811767578,0.07955741882324219,Shoplifting,0.8921598792076111,0.10784012079238892,0.02828270196914673
RoadAccidents,Fighting,0.8711994290351868,0.12880057096481323,Abuse,0.8428881168365479,0.15711188316345215,0.028311312198638916
Shooting,Fighting,0.8972982168197632,0.10270178318023682,Robbery,0.8596553802490234,0.14034461975097656,0.037642836570739746
Explosion,Arson,0.8641561269760132,0.13584387302398682,Arson,0.8256198167800903,0.17438018321990967,0.03853631019592285
Abuse,Arrest,0.9149550795555115,0.08504492044448853,Fighting,0.8723402619361877,0.12765973806381226,0.04261481761932373
Assault,Arrest,0.9132400155067444,0.08675998449325562,Fighting,0.8685546517372131,0.13144534826278687,0.04468536376953125
Arson,Arrest,0.8858860731124878,0.11411392688751221,Explosion,0.8256198167800903,0.17438018321990967,0.06026625633239746
Arrest,Stealing,0.9204425811767578,0.07955741882324219,Robbery,0.8567884564399719,0.14321154356002808,0.06365412473678589
