class_name,baseline_nearest_class,baseline_nearest_similarity,baseline_separation,selected_nearest_class,selected_nearest_similarity,selected_separation,separation_delta_selected_minus_baseline
Normal,Stealing,0.35264718532562256,0.6473528146743774,Fighting,0.7175699472427368,0.2824300527572632,-0.36492276191711426
Shoplifting,Fighting,0.7841305732727051,0.21586942672729492,Stealing,0.8928523659706116,0.10714763402938843,-0.1087217926979065
Abuse,Robbery,0.8363053798675537,0.1636946201324463,Fighting,0.9189054369926453,0.08109456300735474,-0.08260005712509155
Robbery,Abuse,0.8363053798675537,0.1636946201324463,Stealing,0.8954216241836548,0.10457837581634521,-0.059116244316101074
Burglary,Vandalism,0.8531615138053894,0.1468384861946106,Abuse,0.9065483808517456,0.0934516191482544,-0.0533868670463562
Stealing,Vandalism,0.8510274887084961,0.1489725112915039,Burglary,0.900593638420105,0.09940636157989502,-0.04956614971160889
Fighting,Assault,0.8747641444206238,0.12523585557937622,Abuse,0.9189054369926453,0.08109456300735474,-0.044141292572021484
RoadAccidents,Shoplifting,0.7804268002510071,0.21957319974899292,Robbery,0.8155575394630432,0.1844424605369568,-0.03513073921203613
Vandalism,Burglary,0.8531615138053894,0.1468384861946106,Stealing,0.8861106634140015,0.11388933658599854,-0.03294914960861206
Shooting,Assault,0.7912799715995789,0.20872002840042114,Assault,0.8195071220397949,0.18049287796020508,-0.028227150440216064
Arson,Explosion,0.8831360340118408,0.11686396598815918,Explosion,0.8452510237693787,0.15474897623062134,0.03788501024246216
Explosion,Assault,0.8902424573898315,0.10975754261016846,Arson,0.8452510237693787,0.15474897623062134,0.04499143362045288
Arrest,Assault,0.891593337059021,0.108406662940979,Assault,0.8260895013809204,0.1739104986190796,0.06550383567810059
Assault,Arrest,0.891593337059021,0.108406662940979,Arrest,0.8260895013809204,0.1739104986190796,0.06550383567810059
