class_index,class_name,rank_in_class,source_file,source_stem,source_prompts_per_class,prompt_index,selection_score,anchor_similarity,intra_prompt_similarity,inter_prompt_similarity,anchor_margin,best_other_anchor_class,best_other_anchor_similarity,raw_prompt_text,encoded_prompt_text
0,Normal,1,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,8,0.25578874349594116,0.506760835647583,0.6215343475341797,0.9202598929405212,0.0069963932037353516,Robbery,0.49976444244384766,people interacting casually without panic or force,normal people interacting casually without panic or force
1,Abuse,1,ucf_manual_class_prompts_5x_v4.json,ucf_manual_class_prompts_5x_v4,5,1,0.39004403352737416,0.6134742498397827,0.8910714387893677,0.920072615146637,-0.14428704977035522,Shoplifting,0.7577612996101379,a stronger aggressor controlling a weaker victim indoors,abuse a stronger aggressor controlling a weaker victim indoors
2,Arrest,1,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,1,0.44548450708389287,0.704135537147522,0.8995864391326904,0.8822959661483765,0.06335073709487915,RoadAccidents,0.6407848000526428,officers escorting a handcuffed person toward a patrol car,arrest officers escorting a handcuffed person toward a patrol car
3,Arson,1,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,7,0.40982269644737246,0.6777284145355225,0.8180728554725647,0.872316837310791,-0.05851006507873535,Shoplifting,0.7362384796142578,"fire spreading around an entrance, window, or vehicle","arson fire spreading around an entrance, window, or vehicle"
4,Assault,1,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,1,0.4238747000694274,0.6910439133644104,0.8631312251091003,0.9029331207275391,-0.03030872344970703,Arrest,0.7213526368141174,an attacker lunging toward a victim with a forceful strike,assault an attacker lunging toward a victim with a forceful strike
5,Burglary,1,ucf_manual_class_prompts_5x_v3.json,ucf_manual_class_prompts_5x_v3,5,0,0.4257059395313263,0.6843243837356567,0.8828447461128235,0.9065483808517456,-0.062232136726379395,Shoplifting,0.7465565204620361,an intruder forcing entry through a locked doorway,burglary an intruder forcing entry through a locked doorway
6,Explosion,1,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,8,0.4786290287971495,0.7855120897293091,0.8497439622879028,0.8452510237693787,0.047022223472595215,Fighting,0.7384898662567139,"a rapid blast creating flash, shockwave, and airborne debris","explosion a rapid blast creating flash, shockwave, and airborne debris"
7,Fighting,1,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,4,0.4044918298721314,0.6664935350418091,0.8500871658325195,0.9189054369926453,-0.08207821846008301,Shoplifting,0.7485717535018921,a crowd circling two sides fighting each other,fighting a crowd circling two sides fighting each other
8,RoadAccidents,1,ucf_manual_class_prompts_5x_v5.json,ucf_manual_class_prompts_5x_v5,5,3,0.5000118732452392,0.7885752320289612,0.9305055737495422,0.86713707447052,0.06832140684127808,Arrest,0.7202538251876831,vehicles colliding and creating a traffic accident scene,roadAccidents vehicles colliding and creating a traffic accident scene
9,Robbery,1,ucf_manual_class_prompts_5x_v3.json,ucf_manual_class_prompts_5x_v3,5,2,0.41181901693344114,0.6471642255783081,0.913263201713562,0.9287102818489075,-0.05166912078857422,Shoplifting,0.6988333463668823,an attacker cornering a victim and seizing items,robbery an attacker cornering a victim and seizing items
10,Shooting,1,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,7,0.4149355947971344,0.7020894885063171,0.7729407548904419,0.8399568796157837,0.050129473209381104,Arrest,0.651960015296936,a gunfire scene with fear and rapid dispersal,shooting a gunfire scene with fear and rapid dispersal
11,Shoplifting,1,ucf_manual_class_prompts_10x_v2.json,ucf_manual_class_prompts_10x_v2,10,1,0.48281860351562494,0.795352578163147,0.8936365842819214,0.9147433042526245,0.11388969421386719,Robbery,0.6814628839492798,a person removing a store item without checkout,shoplifting a person removing a store item without checkout
12,Stealing,1,ucf_manual_class_prompts_5x_v3.json,ucf_manual_class_prompts_5x_v3,5,4,0.3786832213401794,0.5890018939971924,0.8896483182907104,0.9135611057281494,-0.1814429759979248,Shoplifting,0.7704448699951172,a thief quietly removing property from public space,stealing a thief quietly removing property from public space
13,Vandalism,1,ucf_manual_class_prompts_10x.json,ucf_manual_class_prompts_10x,10,0,0.4038665354251862,0.6611957550048828,0.8541119694709778,0.9148246645927429,-0.047878921031951904,Shoplifting,0.7090746760368347,a person damaging property by smashing a window or door,vandalism a person damaging property by smashing a window or door
